--------[ 2017-02-19 00:00:00 -0500 ]

L.cer.detmap =
      3    19     0     9     1  1881
      4    11    32    41     1  1877
L.cer.npmt = 10
L.cer.position = -0.14  -0.005  1.81
L.cer.size = 1.22  0.302  1.28
L.cer.tdc.offsets = 0  0  0  0  0  0  0  0  0  0
L.cer.adc.pedestals = 506.5  429.8  473.8  439.6  619.2  582.1  611.7  538.8  551.2  518.8
L.cer.adc.gains = 1.184  1.256  1.08  1.149  1.017  0.921  1.199  1.044  1.275  1.332

--------[ 2017-02-24 00:00:00 -0500 ]

L.cer.adc.pedestals = 507.5  430.6  474.7  440  619.4  581.8  611.6  539.1  550.8  518.3
L.cer.adc.gains = 1.243  1.165  1.074  1.156  0.995  0.91  1.259  1.03  1.224  1.294

--------[ 2017-02-25 00:00:00 -0500 ]

L.cer.adc.pedestals = 489.9  439.9  476.4  457.9  595.3  564.1  590.4  521.5  530.5  502.2
L.cer.adc.gains = 1.142  1.195  1.121  1.157  0.953  0.897  1.203  0.987  1.185  1.315

